gene_name,l2fc_protein_starvedtorich,condition,cellline,RNA_pvalue,l2fc_RNA_starvedtorich,l2fc_protein_per_RNA,,,,,
LMAN2,0.092199833,Arg,293T,7.55E-04,-1.017595962,1.109795794,,,,,
LMNA,-0.12723729,Arg,293T,0.077980926,-0.625838597,0.498601307,,,,,
LMNB1,-0.689126323,Arg,293T,1.82E-04,-2.619767768,1.930641445,,,,,
LMNB2,-0.540124395,Arg,293T,NA,NA,NA,,,,,
LIN28B,-0.47480902,Arg,293T,0.475693951,-0.338711296,-0.136097724,,,,,
LNPK,-0.80655111,Arg,293T,NA,NA,NA,,,,,
LONP1,-0.623275913,Arg,293T,1.04E-06,-3.601143434,2.977867522,,,,,
Q9UN81,-2.052218007,Arg,293T,NA,NA,NA,,,,,
LRPPRC,-1.200857582,Arg,293T,0.475134664,-0.19420498,-1.006652602,,,,,
LRBA,-0.855736727,Arg,293T,0.270186999,-0.740353954,-0.115382773,,,,,
LRRC40,-2.57956571,Arg,293T,0.070665383,-1.66527056,-0.91429515,,,,,
LRRC47,-0.803143558,Arg,293T,NA,NA,NA,,,,,
LRRC59,-1.070532357,Arg,293T,NA,NA,NA,,,,,
LRCH2,-1.891088227,Arg,293T,0.433855629,0.7061307,-2.597218927,,,,,
LRRFIP1,-1.129592835,Arg,293T,0.897094523,0.03771892,-1.167311755,,,,,
LRRFIP2,-1.515160563,Arg,293T,0.310614858,-0.587405138,-0.927755425,,,,,
LRWD1,-0.974934678,Arg,293T,NA,NA,NA,,,,,
LSM14A,-1.411691778,Arg,293T,0.096083579,-0.621460007,-0.79023177,,,,,
LSM14B,-1.173641505,Arg,293T,NA,NA,NA,,,,,
LSG1,-3.418344155,Arg,293T,0.033185306,-0.960058978,-2.458285177,,,,,
LSM1,-0.482524848,Arg,293T,5.35E-04,0.851903315,-1.334428163,,,,,
LSM12,1.07101971,Arg,293T,0.174538313,-0.401813313,1.472833023,,,,,
LSM2,-0.297948373,Arg,293T,0.384085638,-0.266960637,-0.030987735,,,,,
LSM3,NA,Arg,293T,1.12E-15,1.331327548,NA,,,,,
LSM4,-0.620139575,Arg,293T,0.188243172,0.388209159,-1.008348734,,,,,
LSM5,-0.461618005,Arg,293T,0.859755443,-0.0342159,-0.427402105,,,,,
LSM6,-0.044889963,Arg,293T,0.97917516,-0.004918137,-0.039971825,,,,,
LSM7,-0.369619213,Arg,293T,0.488728767,-0.127303704,-0.242315509,,,,,
LSMEM1,0.01532888,Arg,293T,NA,NA,NA,,,,,
LTN1,-1.44395696,Arg,293T,NA,NA,NA,,,,,
LAMTOR1,-0.615995993,Arg,293T,NA,NA,NA,,,,,
LAMTOR2,-0.95249497,Arg,293T,7.58E-26,-2.157477855,1.204982885,,,,,
LAMTOR3,-0.536498775,Arg,293T,NA,NA,NA,,,,,
LAMTOR5,-1.113712643,Arg,293T,NA,NA,NA,,,,,
LTV1,-2.40291171,Arg,293T,8.67E-07,-1.187021659,-1.215890051,,,,,
LUC7L,-1.824109508,Arg,293T,0.008923041,-1.109288184,-0.714821324,,,,,
LUZP1,-4.579438608,Arg,293T,1.53E-06,1.168221573,-5.747660181,,,,,
LYAR,-2.99368449,Arg,293T,2.18E-08,-1.181604789,-1.812079701,,,,,
LYN,-1.992070665,Arg,293T,NA,NA,NA,,,,,
LYPLA1,-0.123053263,Arg,293T,NA,NA,NA,,,,,
LYPLA2,-0.775584585,Arg,293T,NA,NA,NA,,,,,
MTDH,-1.751114958,Arg,293T,0.002180884,0.884134718,-2.635249675,,,,,
LYRM4,-1.02452912,Arg,293T,0.739637727,0.09801213,-1.12254125,,,,,
LYRM7,-1.7531056,Arg,293T,0.250047265,-0.671170263,-1.081935337,,,,,
LZIC,-1.35923528,Arg,293T,0.002743559,0.708405698,-2.067640978,,,,,
LZTFL1,-1.666464407,Arg,293T,NA,NA,NA,,,,,
SLC25A11,-0.725409662,Arg,293T,8.16E-06,-2.846085367,2.120675704,,,,,
MAP3K2,-1.262786627,Arg,293T,NA,NA,NA,,,,,
MAP3K4,-2.29690202,Arg,293T,0.574686498,-0.474528455,-1.822373565,,,,,
MAP3K7,-1.218118428,Arg,293T,0.475267458,-0.592635395,-0.625483033,,,,,
MAP4K4,-3.035698437,Arg,293T,NA,NA,NA,,,,,
MAP4K5,-2.11421388,Arg,293T,NA,NA,NA,,,,,
MAN1A1,-1.57392079,Arg,293T,NA,NA,NA,,,,,
MAN1A2,-4.957973409,Arg,293T,0.007297477,0.970991163,-5.928964572,,,,,
MAN2A1,NA,Arg,293T,NA,NA,NA,,,,,
MAP7D1,-1.851393822,Arg,293T,NA,NA,NA,,,,,
MAP7D2,-0.325845882,Arg,293T,1.14E-04,1.902514637,-2.22836052,,,,,
MAP7D3,-7.197560545,Arg,293T,0.123868218,0.262585663,-7.460146208,,,,,
GSTZ1,-0.274434545,Arg,293T,6.23E-05,-2.377729951,2.103295406,,,,,
MACROD1,0.024433475,Arg,293T,NA,NA,NA,,,,,
MACF1,-1.481722883,Arg,293T,NA,NA,NA,,,,,
MAEA,2.71348227,Arg,293T,NA,NA,NA,,,,,
MAGEA1,NA,Arg,293T,NA,NA,NA,,,,,
MAGEB2,-1.071203513,Arg,293T,NA,NA,NA,,,,,
MAGEB6,0,Arg,293T,NA,NA,NA,,,,,
MAGEC2,-0.086922652,Arg,293T,NA,NA,NA,,,,,
MAGED2,-1.490520285,Arg,293T,8.33E-10,1.226001336,-2.716521621,,,,,
MAGT1,-1.841576395,Arg,293T,4.79E-04,-1.098174473,-0.743401922,,,,,
MAIP1,-1.141127517,Arg,293T,NA,NA,NA,,,,,
MAK16,-1.421993233,Arg,293T,0.030242905,-1.039749905,-0.382243327,,,,,
MANF,-1.02512907,Arg,293T,0.003630656,0.960097659,-1.985226729,,,,,
ME2,-1.263886645,Arg,293T,NA,NA,NA,,,,,
ME1,-2.086187468,Arg,293T,NA,NA,NA,,,,,
METAP1,-1.132545915,Arg,293T,NA,NA,NA,,,,,
MAP1B,0.796109325,Arg,293T,4.97E-13,1.932944588,-1.136835263,,,,,
MAP1S,-1.042629398,Arg,293T,NA,NA,NA,,,,,
METAP2,-5.24540507,Arg,293T,0.506669151,0.099101465,-5.344506535,,,,,
MAP4,-0.234516972,Arg,293T,0.027330014,0.6772382,-0.911755173,,,,,
MAP7,-0.976442657,Arg,293T,NA,NA,NA,,,,,
MAP9,-0.598473233,Arg,293T,0.650036606,-0.097255762,-0.501217472,,,,,
MAPKAPK3,-1.628507075,Arg,293T,NA,NA,NA,,,,,
MTARC1,-1.783276858,Arg,293T,NA,NA,NA,,,,,
MARCKS,-0.754787135,Arg,293T,NA,NA,NA,,,,,
MAPRE1,-1.171284053,Arg,293T,0.006178715,-1.916196997,0.744912944,,,,,
MAPRE2,-2.227332198,Arg,293T,NA,NA,NA,,,,,
MARK2,-1.465555793,Arg,293T,NA,NA,NA,,,,,
MARK3,-3.529398481,Arg,293T,0.008888247,1.111100488,-4.640498969,,,,,
MNAT1,-1.932667103,Arg,293T,0.003730628,0.44497573,-2.377642833,,,,,
MAT2B,-0.9174155,Arg,293T,NA,NA,NA,,,,,
MATR3,-1.34822027,Arg,293T,0.193969466,-0.270139108,-1.078081162,,,,,
MATR3,-1.34822027,Arg,293T,0.193969466,-0.270139108,-1.078081162,,,,,
MAVS,-1.534807395,Arg,293T,NA,NA,NA,,,,,
MAX,-0.530716367,Arg,293T,NA,NA,NA,,,,,
MAZ,-1.992239335,Arg,293T,NA,NA,NA,,,,,
MVB12A,-0.939544657,Arg,293T,0.013033096,-1.304427011,0.364882354,,,,,
MYBBP1A,-0.65915417,Arg,293T,0.021200524,-2.630591355,1.971437185,,,,,
MBD1,-0.813087305,Arg,293T,NA,NA,NA,,,,,
MBD3,-2.147773727,Arg,293T,NA,NA,NA,,,,,
MBNL1,-0.226888545,Arg,293T,NA,NA,NA,,,,,
MBOAT2,-3.618861157,Arg,293T,NA,NA,NA,,,,,
MBOAT7,-2.21042751,Arg,293T,NA,NA,NA,,,,,
EEF1E1,-0.546305005,Arg,293T,0.049767822,0.363381216,-0.909686221,,,,,
ATF7IP,-0.631235708,Arg,293T,0.056604426,-0.781888574,0.150652866,,,,,
MCCC2,-1.295778728,Arg,293T,0.806641222,0.200135736,-1.495914464,,,,,
RNMT,-0.94311084,Arg,293T,3.96E-17,1.728158379,-2.671269219,,,,,
MCFD2,-2.394420672,Arg,293T,0.014645251,-0.345359025,-2.049061647,,,,,
MCM2,-1.08083616,Arg,293T,0.344087774,0.603163594,-1.683999754,,,,,
MCM3,-0.986363528,Arg,293T,NA,NA,NA,,,,,
MCM4,-1.633156523,Arg,293T,0.005245545,-1.298819024,-0.334337499,,,,,
MCM5,-1.05355302,Arg,293T,0.603638648,-0.226822099,-0.826730921,,,,,
MCM6,-1.33292017,Arg,293T,0.089121262,0.523292118,-1.856212288,,,,,
MCM7,-1.082363087,Arg,293T,2.21E-15,1.301372676,-2.383735763,,,,,
MCMBP,-3.849744197,Arg,293T,0.805269842,0.12566105,-3.975405248,,,,,
MCRIP1,-1.652767213,Arg,293T,NA,NA,NA,,,,,
MCTS1,-0.773905375,Arg,293T,1.14E-04,0.516934201,-1.290839576,,,,,
MAD1L1,-0.586376083,Arg,293T,NA,NA,NA,,,,,
MAD2L1,-2.29315267,Arg,293T,0.008191917,-0.98940571,-1.30374696,,,,,
MDC1,-1.570969622,Arg,293T,0.44275552,-0.53283931,-1.038130312,,,,,
MDH1,-0.889966125,Arg,293T,1.28E-10,1.022970937,-1.912937062,,,,,
MDH2,-0.517539642,Arg,293T,0.241460923,0.19746196,-0.715001603,,,,,
MDN1,-3.187322375,Arg,293T,0.376698003,-0.513087208,-2.674235167,,,,,
MECP2,-0.037953118,Arg,293T,NA,NA,NA,,,,,
MECR,-0.251360115,Arg,293T,6.52E-04,-1.648476078,1.397115963,,,,,
MED1,-0.88687733,Arg,293T,0.618161066,0.186187505,-1.073064835,,,,,
MED14,-2.698033018,Arg,293T,0.510538541,0.673418118,-3.371451136,,,,,
MED15,-1.83485412,Arg,293T,NA,NA,NA,,,,,
MED20,-1.272006082,Arg,293T,NA,NA,NA,,,,,
MED23,-2.528305048,Arg,293T,0.275121468,0.704275125,-3.232580172,,,,,
MED24,-1.569925868,Arg,293T,NA,NA,NA,,,,,
MED27,-2.800357247,Arg,293T,0.773052373,-0.164046735,-2.636310513,,,,,
MED4,0.064229083,Arg,293T,0.502400876,-0.128872579,0.193101663,,,,,
MEMO1,NA,Arg,293T,NA,NA,NA,,,,,
MEN1,-0.73513025,Arg,293T,NA,NA,NA,,,,,
WDR77,-1.0488174,Arg,293T,0.030687582,-1.439525333,0.390707933,,,,,
MESD,-1.293583945,Arg,293T,NA,NA,NA,,,,,
HDDC3,-0.267634705,Arg,293T,0.140086196,-0.761714701,0.494079996,,,,,
METTL13,-0.156003903,Arg,293T,0.006025394,1.19979803,-1.355801932,,,,,
METTL17,-2.194580945,Arg,293T,0.777053763,0.074937577,-2.269518522,,,,,
METTL2B,-2.70202675,Arg,293T,0.112257767,-0.308446094,-2.393580656,,,,,
METTL7B,-1.513309172,Arg,293T,NA,NA,NA,,,,,
MTR,-4.242058826,Arg,293T,0.692435582,0.259602907,-4.501661733,,,,,
MAT2A,-1.81963396,Arg,293T,0.01522472,-2.592433267,0.772799307,,,,,
MFAP1,-1.4940364,Arg,293T,0.352327672,0.34427268,-1.83830908,,,,,
MFN1,-5.778690626,Arg,293T,0.176565379,-0.672206583,-5.106484043,,,,,
MFN2,NA,Arg,293T,NA,NA,NA,,,,,
MTFR1L,-15.01205218,Arg,293T,NA,NA,NA,,,,,
MGA,-0.725288085,Arg,293T,5.70E-10,1.516732794,-2.242020879,,,,,
MGME1,-0.0770594,Arg,293T,8.10E-11,1.67856285,-1.75562225,,,,,
MAGOH,NA,Arg,293T,4.49E-05,0.717924879,NA,,,,,
MAGOHB,-1.187346687,Arg,293T,0.039183154,0.248517094,-1.435863782,,,,,
MGST1,-1.885261043,Arg,293T,0.036071272,-0.598459644,-1.286801398,,,,,
CHCHD4,-0.600134333,Arg,293T,0.634983778,-0.265041283,-0.33509305,,,,,
MICOS10,-1.338930917,Arg,293T,NA,NA,NA,,,,,
MICOS13,-1.294990607,Arg,293T,NA,NA,NA,,,,,
CHCHD3,-0.948829725,Arg,293T,0.70481051,-0.238901688,-0.709928037,,,,,
APOO,-0.412262928,Arg,293T,0.071529051,0.603920789,-1.016183717,,,,,
APOOL,-2.891128693,Arg,293T,0.147057403,-0.512162384,-2.37896631,,,,,
IMMT,-0.940469247,Arg,293T,0.080173671,-0.291128199,-0.649341048,,,,,
MICU2,-1.771108603,Arg,293T,NA,NA,NA,,,,,
MIER1,-2.596261783,Arg,293T,0.138195929,-0.344728529,-2.251533254,,,,,
MIF,-0.28683007,Arg,293T,0.120038365,-0.269939783,-0.016890287,,,,,
MICALL1,-0.167201905,Arg,293T,NA,NA,NA,,,,,
MINPP1,-2.619632237,Arg,293T,NA,NA,NA,,,,,
SPEN,-6.481995371,Arg,293T,0.124367954,-0.575525679,-5.906469692,,,,,
MINDY3,-0.132473282,Arg,293T,NA,NA,NA,,,,,
MIOS,-1.180778457,Arg,293T,0.12372125,-0.721817341,-0.458961116,,,,,
MIPEP,-1.7964098,Arg,293T,NA,NA,NA,,,,,
RHOT2,-4.977521817,Arg,293T,NA,NA,NA,,,,,
MITD1,-1.520233265,Arg,293T,0.041313486,0.405004276,-1.925237541,,,,,
MAPK1,-0.466630868,Arg,293T,NA,NA,NA,,,,,
MAPK3,-0.293843405,Arg,293T,NA,NA,NA,,,,,
MAPK8,-1.786159358,Arg,293T,NA,NA,NA,,,,,
MAPK9,-0.533795197,Arg,293T,NA,NA,NA,,,,,
MAPK12,-0.349055937,Arg,293T,NA,NA,NA,,,,,
MAPK14,-1.878747572,Arg,293T,NA,NA,NA,,,,,
NIFK,-0.776545845,Arg,293T,6.08E-06,0.503256451,-1.279802296,,,,,
MKLN1,-2.28804919,Arg,293T,0.020074183,-0.712166063,-1.575883127,,,,,
MYL12A,-1.228149045,Arg,293T,0.033218465,0.432751453,-1.660900498,,,,,
MLEC,-0.379325502,Arg,293T,0.298310529,-0.410660985,0.031335483,,,,,
MAP1LC3B,-1.703583538,Arg,293T,0.829990353,0.05895617,-1.762539707,,,,,
MMAB,-0.588877618,Arg,293T,0.00133556,-1.232205028,0.643327411,,,,,
MMGT1,-1.213800763,Arg,293T,NA,NA,NA,,,,,
MMS19,-1.395824622,Arg,293T,NA,NA,NA,,,,,
MMS22L,-1.657851983,Arg,293T,0.731418211,-0.137909847,-1.519942137,,,,,
ALDH6A1,0.29029143,Arg,293T,0.117655594,0.868686154,-0.578394724,,,,,
C1orf35,-0.853212037,Arg,293T,0.362042165,0.231359502,-1.084571539,,,,,
MORF4L1,-1.723801687,Arg,293T,0.819493268,-0.031010146,-1.692791541,,,,,
MORF4L2,-4.338258382,Arg,293T,0.121845698,0.444372893,-4.782631275,,,,,
MOB1A,-0.18862877,Arg,293T,NA,NA,NA,,,,,
MOCS3,NA,Arg,293T,NA,NA,NA,,,,,
MSN,-0.675192415,Arg,293T,0.175379815,-0.532317271,-0.142875144,,,,,
MRFAP1,-1.731897828,Arg,293T,NA,NA,NA,,,,,
MOGS,-1.362026455,Arg,293T,0.905680989,0.073107206,-1.435133661,,,,,
MON2,-2.357124738,Arg,293T,NA,NA,NA,,,,,
MORC2,-1.39825958,Arg,293T,NA,NA,NA,,,,,
MORC3,-2.264329867,Arg,293T,0.546029882,0.271142839,-2.535472705,,,,,
SLC16A1,-1.42788724,Arg,293T,0.310317965,-0.440483531,-0.987403709,,,,,
MOV10,-0.374265573,Arg,293T,NA,NA,NA,,,,,
MAP2K1,-0.511791795,Arg,293T,NA,NA,NA,,,,,
MAP2K2,-0.859180483,Arg,293T,NA,NA,NA,,,,,
MAP2K4,-0.616235178,Arg,293T,NA,NA,NA,,,,,
MAP2K6,-1.723122288,Arg,293T,NA,NA,NA,,,,,
MPC2,-0.731765065,Arg,293T,0.709963152,0.095301471,-0.827066536,,,,,
SLC25A3,-0.726307568,Arg,293T,0.638654909,0.098482383,-0.82478995,,,,,
MPHOSPH6,-1.06086052,Arg,293T,0.899872139,0.034153724,-1.095014244,,,,,
MPI,-0.584271263,Arg,293T,0.018132295,-1.909906996,1.325635734,,,,,
MPHOSPH10,-1.068526658,Arg,293T,2.99E-04,-0.662839516,-0.405687142,,,,,
PALS1,-2.061803402,Arg,293T,NA,NA,NA,,,,,
PALS2,-1.30335624,Arg,293T,NA,NA,NA,,,,,
MPHOSPH8,-1.52174284,Arg,293T,0.769756191,-0.067497603,-1.454245237,,,,,
PMPCA,-1.277597458,Arg,293T,0.035375488,-1.095835556,-0.181761902,,,,,
PMPCB,-1.390165088,Arg,293T,1.38E-09,0.882355166,-2.272520254,,,,,
IGF2R,-3.032845825,Arg,293T,0.792561932,-0.295680485,-2.73716534,,,,,
MPRIP,-1.895230287,Arg,293T,NA,NA,NA,,,,,
MPDU1,-1.258289845,Arg,293T,NA,NA,NA,,,,,
MPZL1,-1.88867451,Arg,293T,0.005309177,-1.023010298,-0.865664212,,,,,
CDC42BPB,-2.765544025,Arg,293T,NA,NA,NA,,,,,
MRE11,-1.36635634,Arg,293T,NA,NA,NA,,,,,
MRM3,-2.583967135,Arg,293T,NA,NA,NA,,,,,
MARCKSL1,-4.53503581,Arg,293T,NA,NA,NA,,,,,
ABCC1,-0.37760016,Arg,293T,NA,NA,NA,,,,,
MRTO4,-0.85419576,Arg,293T,0.656526694,-0.144720826,-0.709474934,,,,,
OIP5,-1.874406737,Arg,293T,NA,NA,NA,,,,,
MSH2,-1.89548189,Arg,293T,3.85E-09,0.989077343,-2.884559233,,,,,
MSH3,NA,Arg,293T,0.791665865,-0.149885618,NA,,,,,
MSH6,-1.792124523,Arg,293T,0.661218596,0.082789775,-1.874914298,,,,,
MSI1,0.182644688,Arg,293T,NA,NA,NA,,,,,
MSI2,-1.28545473,Arg,293T,NA,NA,NA,,,,,
MOSPD2,-1.195460437,Arg,293T,9.56E-04,1.416175046,-2.611635482,,,,,
RABIF,-0.91346822,Arg,293T,1.41E-04,1.3063359,-2.21980412,,,,,
MSTO1,-1.509943443,Arg,293T,8.81E-06,-2.84135905,1.331415607,,,,,
VCPKMT,-1.111795074,Arg,293T,NA,NA,NA,,,,,
MTA1,-0.984840975,Arg,293T,NA,NA,NA,,,,,
MTA2,-1.302671365,Arg,293T,NA,NA,NA,,,,,
MTA3,-1.364801135,Arg,293T,0.402894562,-0.29993567,-1.064865465,,,,,
METTL3,-1.150100325,Arg,293T,0.6546906,-0.114101409,-1.035998916,,,,,
MTAP,-0.507406623,Arg,293T,0.173578807,-0.501210171,-0.006196451,,,,,
MTCH1,-0.557155895,Arg,293T,NA,NA,NA,,,,,
MTCH2,-0.627562933,Arg,293T,0.02947851,-0.357717042,-0.269845891,,,,,
MTHFD2,0.097117685,Arg,293T,0.02646395,0.890835211,-0.793717526,,,,,
MTERF3,-3.254883975,Arg,293T,0.082443611,0.481144837,-3.736028812,,,,,
MTFR1,-3.237546113,Arg,293T,NA,NA,NA,,,,,
MTHFS,-0.245780673,Arg,293T,1.64E-06,1.045297944,-1.291078616,,,,,
MTMR1,-3.816939855,Arg,293T,NA,NA,NA,,,,,
SBF1,-14.68463199,Arg,293T,NA,NA,NA,,,,,
MRI1,-1.304050553,Arg,293T,NA,NA,NA,,,,,
APIP,-0.831256133,Arg,293T,2.59E-06,-0.97486616,0.143610028,,,,,
ADI1,-1.573617427,Arg,293T,0.460246949,-0.586427885,-0.987189543,,,,,
MTPN,0.056952963,Arg,293T,0.109517369,0.326796406,-0.269843444,,,,,
MTREX,-1.892110265,Arg,293T,NA,NA,NA,,,,,
MTRR,-1.755629067,Arg,293T,NA,NA,NA,,,,,
MTX2,-0.75488633,Arg,293T,0.242760178,0.306081723,-1.060968053,,,,,
MMUT,-1.59686836,Arg,293T,NA,NA,NA,,,,,
MVD,-1.708515023,Arg,293T,NA,NA,NA,,,,,
MXRA7,-2.487163731,Arg,293T,NA,NA,NA,,,,,
MYCBP2,-2.60407275,Arg,293T,NA,NA,NA,,,,,
MYDGF,0.256090817,Arg,293T,0.979762491,0.015439255,0.240651562,,,,,
Q9HB07,-0.95650361,Arg,293T,NA,NA,NA,,,,,
MYH10,-0.724850955,Arg,293T,0.260488809,0.303945918,-1.028796873,,,,,
MYH11,-0.934715262,Arg,293T,NA,NA,NA,,,,,
MYH9,-1.08852023,Arg,293T,0.973164789,0.03457075,-1.12309098,,,,,
MYL6,-1.151574588,Arg,293T,0.002844861,-0.424553607,-0.727020981,,,,,
MYO1B,-1.818688577,Arg,293T,0.768916218,-0.214840627,-1.60384795,,,,,
MYO1C,-0.907637273,Arg,293T,NA,NA,NA,,,,,
MYO1D,-0.603140915,Arg,293T,NA,NA,NA,,,,,
MYO1E,-2.605523617,Arg,293T,NA,NA,NA,,,,,
MYO6,-1.159613052,Arg,293T,0.681619285,-0.089997463,-1.069615589,,,,,
MYOM1,-1.05925531,Arg,293T,NA,NA,NA,,,,,
PPP1R12A,-3.4657422,Arg,293T,5.48E-07,1.333526243,-4.799268443,,,,,
MZT2B,-5.048893003,Arg,293T,7.41E-07,-0.925588867,-4.123304136,,,,,
NAA10,-1.26013833,Arg,293T,4.84E-08,-1.243658068,-0.016480262,,,,,
NAA15,-0.897285578,Arg,293T,0.21022064,0.256865199,-1.154150777,,,,,
NAA20,-0.980067535,Arg,293T,0.545204268,0.158007639,-1.138075174,,,,,
NAA25,-0.683905407,Arg,293T,1.15E-11,0.834691671,-1.518597078,,,,,
NAA30,-2.219595725,Arg,293T,NA,NA,NA,,,,,
NAA35,-4.973557615,Arg,293T,0.011932448,0.95985883,-5.933416446,,,,,
NAA40,-1.902756615,Arg,293T,NA,NA,NA,,,,,
NAA50,-0.930807958,Arg,293T,0.001324104,-0.97327178,0.042463823,,,,,
NACA,-1.849986548,Arg,293T,0.442518284,0.10328585,-1.953272397,,,,,
NACC1,-4.454844795,Arg,293T,NA,NA,NA,,,,,
SLC4A1AP,-1.743034348,Arg,293T,0.080739064,0.569555737,-2.312590085,,,,,
NAF1,-1.031244705,Arg,293T,NA,NA,NA,,,,,
NAGK,-0.212078383,Arg,293T,NA,NA,NA,,,,,
NADK2,0.295556323,Arg,293T,NA,NA,NA,,,,,
NAMPT,-0.72665416,Arg,293T,NA,NA,NA,,,,,
NA,-1.320562212,Arg,293T,NA,NA,NA,,,,,
NASP,-1.180106745,Arg,293T,0.258566168,0.216275441,-1.396382186,,,,,
NAT10,-1.07135842,Arg,293T,0.003503895,-0.95514273,-0.11621569,,,,,
CYB5R1,-0.46369863,Arg,293T,NA,NA,NA,,,,,
CYB5R3,-0.480679895,Arg,293T,NA,NA,NA,,,,,
NBAS,-1.153255065,Arg,293T,0.251814665,0.544612537,-1.697867602,,,,,
NBEA,-0.143090053,Arg,293T,0.241569598,0.284141469,-0.427231522,,,,,
NBEAL2,0.53611593,Arg,293T,NA,NA,NA,,,,,
NBN,-1.641544925,Arg,293T,4.79E-08,-1.752991554,0.111446629,,,,,
DRAP1,-0.438732837,Arg,293T,NA,NA,NA,,,,,
DR1,-0.68084569,Arg,293T,0.044786125,-1.295127698,0.614282008,,,,,
NCAM1,-0.22861541,Arg,293T,NA,NA,NA,,,,,
NCBP1,-0.955439375,Arg,293T,0.503839575,-0.32283851,-0.632600865,,,,,
NCBP2,-0.983850935,Arg,293T,0.001188482,-0.926657841,-0.057193094,,,,,
NCBP3,-2.510479478,Arg,293T,0.025848215,-1.122635526,-1.387843952,,,,,
NCDN,-1.847846238,Arg,293T,NA,NA,NA,,,,,
NCK1,-1.018926075,Arg,293T,NA,NA,NA,,,,,
NCKAP1,-2.15813754,Arg,293T,NA,NA,NA,,,,,
NCLN,-2.57920077,Arg,293T,NA,NA,NA,,,,,
NCOA2,-5.422036919,Arg,293T,NA,NA,NA,,,,,
NCOA5,-1.395892796,Arg,293T,NA,NA,NA,,,,,
NCOA7,1.874178115,Arg,293T,4.12E-14,3.281586888,-1.407408773,,,,,
POR,-1.81826357,Arg,293T,NA,NA,NA,,,,,
NDC1,-1.466049,Arg,293T,0.004851425,-1.86594402,0.39989502,,,,,
NDC80,-4.602250545,Arg,293T,0.001533866,0.599248929,-5.201499475,,,,,
NME7,-2.220352035,Arg,293T,0.53299207,0.138204829,-2.358556864,,,,,
NME1,-0.224070505,Arg,293T,0.18059125,0.202694338,-0.426764843,,,,,
NME2,-0.80358127,Arg,293T,0.160383114,-0.217145029,-0.586436241,,,,,
NDRG1,-0.78468094,Arg,293T,NA,NA,NA,,,,,
NDRG2,-1.625777508,Arg,293T,NA,NA,NA,,,,,
NDRG3,-3.369867373,Arg,293T,1.94E-06,-1.809589004,-1.560278369,,,,,
NDUFA3,NA,Arg,293T,1.56E-13,-1.215544512,NA,,,,,
NDUFA4,-0.99024256,Arg,293T,4.98E-06,0.703511193,-1.693753753,,,,,
NDUFA5,-1.089878638,Arg,293T,1.86E-12,-0.876237832,-0.213640805,,,,,
NDUFA6,-0.929718465,Arg,293T,NA,NA,NA,,,,,
NDUFA7,-1.129657097,Arg,293T,1.99E-05,-0.709893316,-0.419763781,,,,,
NDUFA8,-0.96506457,Arg,293T,0.084531535,0.389320176,-1.354384746,,,,,
NDUFA9,-1.461682775,Arg,293T,0.010503008,-0.39644768,-1.065235095,,,,,
NDUFA10,-0.927905733,Arg,293T,0.995182702,-0.002164742,-0.92574099,,,,,
NDUFA11,-0.720035313,Arg,293T,0.001270359,0.566771562,-1.286806874,,,,,
NDUFA12,-1.231516295,Arg,293T,0.008210932,0.418407557,-1.649923852,,,,,
NDUFB1,-1.033496625,Arg,293T,2.28E-13,0.839418467,-1.872915092,,,,,
NDUFB3,-0.999503577,Arg,293T,0.049418522,0.317809769,-1.317313346,,,,,
NDUFB5,-1.406372947,Arg,293T,0.024903287,-0.530078632,-0.876294315,,,,,
NDUFB6,-1.730115823,Arg,293T,0.757945833,-0.05710781,-1.673008013,,,,,
NDUFB7,-0.90762713,Arg,293T,0.037046977,-0.461593252,-0.446033878,,,,,
NDUFB9,-0.965621595,Arg,293T,0.402446104,0.111977168,-1.077598763,,,,,
NDUFB10,-1.195434083,Arg,293T,7.07E-23,-2.797276414,1.601842331,,,,,
NDUFB11,-2.32040166,Arg,293T,8.25E-04,0.647908273,-2.968309933,,,,,
NDUFC2,-1.00395265,Arg,293T,0.179951983,-0.239392636,-0.764560014,,,,,
NDUFAF2,-2.970639708,Arg,293T,0.363410157,-0.141889783,-2.828749925,,,,,
NDUFAF4,-0.840434945,Arg,293T,2.15E-05,0.791411529,-1.631846474,,,,,
NDUFS1,-1.217030555,Arg,293T,0.087166799,-0.312342004,-0.904688551,,,,,
NDUFS2,-0.974060228,Arg,293T,0.372597119,-0.330466655,-0.643593573,,,,,
NDUFS3,-1.069061902,Arg,293T,0.243711564,-0.239249744,-0.829812158,,,,,
NDUFS4,-1.060691858,Arg,293T,0.362331018,0.144246818,-1.204938676,,,,,
NDUFS5,-0.70628362,Arg,293T,5.09E-06,0.606478743,-1.312762363,,,,,
NDUFS8,-0.961100303,Arg,293T,0.776948181,0.047639864,-1.008740166,,,,,
NDUFV1,-1.279810302,Arg,293T,0.006988202,-0.695490307,-0.584319996,,,,,
NDUFV2,-1.020783363,Arg,293T,0.454491922,-0.12510353,-0.895679832,,,,,
NEDD1,-1.018292747,Arg,293T,0.489234383,-0.350231731,-0.668061016,,,,,
NEDD4,-0.782015328,Arg,293T,0.031274937,1.46282439,-2.244839717,,,,,
NEK7,-1.058893887,Arg,293T,NA,NA,NA,,,,,
NEK9,-0.651594385,Arg,293T,NA,NA,NA,,,,,
